"filename", "language", "JSON", "TypeScript", "JavaScript", "source.markdown.math", "Shell Script", "Docker", "JSON with Comments", "YAML", "Properties", "XML", "TypeScript JSX", "PostCSS", "pgsql", "Prisma", "PowerShell", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.github/chatmodes/principal-software-engineer.chatmode.md", "source.markdown.math", 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -48
"/workspaces/dev-x-academy-web/.github/collections/csharp-dotnet-development.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22
"/workspaces/dev-x-academy-web/.github/collections/csharp-dotnet-development.md", "source.markdown.math", 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -22
"/workspaces/dev-x-academy-web/.github/collections/database-data-management.md", "source.markdown.math", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -25
"/workspaces/dev-x-academy-web/.github/collections/frontend-web-dev.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -3, -4, -37
"/workspaces/dev-x-academy-web/.github/collections/frontend-web-dev.md", "source.markdown.math", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -28
"/workspaces/dev-x-academy-web/.github/collections/testing-automation.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -3, -4, -37
"/workspaces/dev-x-academy-web/.github/collections/testing-automation.md", "source.markdown.math", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -28
"/workspaces/dev-x-academy-web/.github/instructions/aspnet-rest-apis.instructions.md", "source.markdown.math", 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -115
"/workspaces/dev-x-academy-web/.github/instructions/clojure.instructions.md", "source.markdown.math", 0, 0, 0, -266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, -353
"/workspaces/dev-x-academy-web/.github/instructions/csharp-mcp-server.instructions.md", "source.markdown.math", 0, 0, 0, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -100
"/workspaces/dev-x-academy-web/.github/instructions/csharp.instructions.md", "source.markdown.math", 0, 0, 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -119
"/workspaces/dev-x-academy-web/.github/instructions/devops-core-principles.instructions.md", "source.markdown.math", 0, 0, 0, -146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -172
"/workspaces/dev-x-academy-web/.github/instructions/dotnet-architecture-good-practices.instructions.md", "source.markdown.math", 0, 0, 0, -203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, -284
"/workspaces/dev-x-academy-web/.github/instructions/markdown.instructions.md", "source.markdown.math", 0, 0, 0, -127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -154
"/workspaces/dev-x-academy-web/.github/instructions/ms-sql-dba.instructions.md", "source.markdown.math", 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -30
"/workspaces/dev-x-academy-web/.github/instructions/nextjs.instructions.md", "source.markdown.math", 0, 0, 0, -116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -146
"/workspaces/dev-x-academy-web/.github/instructions/sql_to_pg.instructions.md", "source.markdown.math", 0, 0, 0, -219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -48, -267
"/workspaces/dev-x-academy-web/.github/instructions/typescript-5-es2022.instructions.md", "source.markdown.math", 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -120
