"filename", "language", "JavaScript", "JSON", "TypeScript", "Dotenv", "source.markdown.math", "TypeScript JSX", "JSON with Comments", "PostCSS", "HTML", "Shell Script", "XML", "pgsql", "Home Assistant", "Docker", "Properties", "comment", "blank", "total"
"c:\Projects\websites\dev-x-academy-web\src\app\api\courses\route.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 66
"c:\Projects\websites\dev-x-academy-web\src\app\api\enrollments\[id]\route.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 76
"c:\Projects\websites\dev-x-academy-web\src\app\api\enrollments\route.ts", "TypeScript", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 142
"c:\Projects\websites\dev-x-academy-web\src\app\api\progress\[courseId]\lesson\route.ts", "TypeScript", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 179
"c:\Projects\websites\dev-x-academy-web\src\app\api\progress\[courseId]\module\route.ts", "TypeScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 157
"c:\Projects\websites\dev-x-academy-web\src\app\api\progress\[courseId]\route.ts", "TypeScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 114
"c:\Projects\websites\dev-x-academy-web\src\app\api\user\language\route.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"c:\Projects\websites\dev-x-academy-web\src\app\api\user\profile\route.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 85
"c:\Projects\websites\dev-x-academy-web\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 160
"c:\Projects\websites\dev-x-academy-web\src\app\courses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 127
"c:\Projects\websites\dev-x-academy-web\src\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Projects\websites\dev-x-academy-web\src\app\global-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Projects\websites\dev-x-academy-web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"c:\Projects\websites\dev-x-academy-web\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Projects\websites\dev-x-academy-web\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projects\websites\dev-x-academy-web\src\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 69
"c:\Projects\websites\dev-x-academy-web\src\app\privacy-policy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 44, 483
"c:\Projects\websites\dev-x-academy-web\src\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\Projects\websites\dev-x-academy-web\src\app\terms-of-service\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 52, 480
"c:\Projects\websites\dev-x-academy-web\src\auth.ts", "TypeScript", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 128
"c:\Projects\websites\dev-x-academy-web\src\auth.types.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Projects\websites\dev-x-academy-web\src\components\layout\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 103
"c:\Projects\websites\dev-x-academy-web\src\components\layout\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 114
"c:\Projects\websites\dev-x-academy-web\src\components\layout\layout-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Projects\websites\dev-x-academy-web\src\components\sections\courses.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 113
"c:\Projects\websites\dev-x-academy-web\src\components\sections\cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 72
"c:\Projects\websites\dev-x-academy-web\src\components\sections\hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 55
"c:\Projects\websites\dev-x-academy-web\src\components\sections\pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 119
