"filename", "language", "(Read Error)", "JSON with Comments", "Shell Script", "JavaScript", "TypeScript", "source.markdown.math", "JSON", "Prisma", "pgsql", "XML", "Properties", "TypeScript JSX", "YAML", "Docker", "PostCSS", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.github/CLAUDE.md", "source.markdown.math", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/workspaces/dev-x-academy-web/.github/FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/workspaces/dev-x-academy-web/.github/agents/CSharpExpert.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 207
"/workspaces/dev-x-academy-web/.github/agents/api-architect.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"/workspaces/dev-x-academy-web/.github/agents/clojure-interactive-programming.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 196
"/workspaces/dev-x-academy-web/.github/agents/csharp-dotnet-janitor.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 90
"/workspaces/dev-x-academy-web/.github/agents/csharp-mcp-expert.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 125
"/workspaces/dev-x-academy-web/.github/agents/expert-dotnet-software-engineer.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/workspaces/dev-x-academy-web/.github/agents/expert-nextjs-developer.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 483
"/workspaces/dev-x-academy-web/.github/agents/microsoft-agent-framework-dotnet.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 68
"/workspaces/dev-x-academy-web/.github/agents/ms-sql-dba.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"/workspaces/dev-x-academy-web/.github/agents/postgresql-dba.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/workspaces/dev-x-academy-web/.github/agents/typescript-mcp-expert.agent.md", "source.markdown.math", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 101
"/workspaces/dev-x-academy-web/.github/chatmodes/csharp-dotnet-janitor.chatmode.md", "source.markdown.math", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 95
"/workspaces/dev-x-academy-web/.github/chatmodes/ms-sql-dba.chatmode.md", "source.markdown.math", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"/workspaces/dev-x-academy-web/.github/chatmodes/principal-software-engineer.chatmode.md", "source.markdown.math", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"/workspaces/dev-x-academy-web/.github/collections/csharp-dotnet-development.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 22
"/workspaces/dev-x-academy-web/.github/collections/csharp-dotnet-development.md", "source.markdown.math", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/workspaces/dev-x-academy-web/.github/collections/database-data-management.md", "source.markdown.math", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/workspaces/dev-x-academy-web/.github/collections/frontend-web-dev.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 4, 37
"/workspaces/dev-x-academy-web/.github/collections/frontend-web-dev.md", "source.markdown.math", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/workspaces/dev-x-academy-web/.github/collections/testing-automation.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 4, 37
"/workspaces/dev-x-academy-web/.github/collections/testing-automation.md", "source.markdown.math", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/workspaces/dev-x-academy-web/.github/copilot-instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 220
"/workspaces/dev-x-academy-web/.github/instructions/aspnet-rest-apis.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 115
"/workspaces/dev-x-academy-web/.github/instructions/clojure.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 353
"/workspaces/dev-x-academy-web/.github/instructions/csharp-mcp-server.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"/workspaces/dev-x-academy-web/.github/instructions/csharp.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 119
"/workspaces/dev-x-academy-web/.github/instructions/devops-core-principles.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 172
"/workspaces/dev-x-academy-web/.github/instructions/dotnet-architecture-good-practices.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 284
"/workspaces/dev-x-academy-web/.github/instructions/markdown.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 154
"/workspaces/dev-x-academy-web/.github/instructions/ms-sql-dba.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/workspaces/dev-x-academy-web/.github/instructions/nextjs.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 146
"/workspaces/dev-x-academy-web/.github/instructions/sql_to_pg.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 267
"/workspaces/dev-x-academy-web/.github/instructions/typescript-5-es2022.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 119
"/workspaces/dev-x-academy-web/.github/instructions/typescript-mcp-server.instructions.md", "source.markdown.math", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 234
"/workspaces/dev-x-academy-web/.github/prompts/csharp-async.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 57
"/workspaces/dev-x-academy-web/.github/prompts/csharp-docs.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/workspaces/dev-x-academy-web/.github/prompts/csharp-mcp-server-generator.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 66
"/workspaces/dev-x-academy-web/.github/prompts/csharp-xunit.prompt (2).md", "source.markdown.math", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 76
"/workspaces/dev-x-academy-web/.github/prompts/csharp-xunit.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 76
"/workspaces/dev-x-academy-web/.github/prompts/dotnet-best-practices.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 91
"/workspaces/dev-x-academy-web/.github/prompts/dotnet-design-pattern-review.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"/workspaces/dev-x-academy-web/.github/prompts/editorconfig.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 70
"/workspaces/dev-x-academy-web/.github/prompts/ef-core.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 83
"/workspaces/dev-x-academy-web/.github/prompts/multi-stage-dockerfile.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"/workspaces/dev-x-academy-web/.github/prompts/next-intl-add-language.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/workspaces/dev-x-academy-web/.github/prompts/postgresql-code-review.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 221
"/workspaces/dev-x-academy-web/.github/prompts/postgresql-optimization.prompt (2).md", "source.markdown.math", 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 413
"/workspaces/dev-x-academy-web/.github/prompts/postgresql-optimization.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 413
"/workspaces/dev-x-academy-web/.github/prompts/sql-code-review.prompt (2).md", "source.markdown.math", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 310
"/workspaces/dev-x-academy-web/.github/prompts/sql-code-review.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 310
"/workspaces/dev-x-academy-web/.github/prompts/sql-optimization.prompt (2).md", "source.markdown.math", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 305
"/workspaces/dev-x-academy-web/.github/prompts/sql-optimization.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 305
"/workspaces/dev-x-academy-web/.github/prompts/typescript-mcp-server-generator.prompt.md", "source.markdown.math", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 97
