"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Shell Script", "source.markdown.math", "JSON", "Properties", "Docker", "YAML", "Prisma", "XML", "TypeScript JSX", "PostCSS", "pgsql", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/src/app/(protected)/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 4, 12, 98
"/workspaces/dev-x-academy-web/src/app/(protected)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"/workspaces/dev-x-academy-web/src/app/(protected)/profile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 538, 0, 0, 12, 54, 604
"/workspaces/dev-x-academy-web/src/app/(protected)/security/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0, 3, 19, 213
"/workspaces/dev-x-academy-web/src/app/about/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 5, 8, 92
"/workspaces/dev-x-academy-web/src/app/api/__tests__/courses.test.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 115
"/workspaces/dev-x-academy-web/src/app/api/__tests__/enrollments.test.ts", "TypeScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 184
"/workspaces/dev-x-academy-web/src/app/api/__tests__/progress.test.ts", "TypeScript", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 200
"/workspaces/dev-x-academy-web/src/app/api/__tests__/register.test.ts", "TypeScript", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39, 219
"/workspaces/dev-x-academy-web/src/app/api/__tests__/user-language.test.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 123
"/workspaces/dev-x-academy-web/src/app/api/__tests__/user-profile.test.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 152
"/workspaces/dev-x-academy-web/src/app/api/admin/login-logs/route.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 43
"/workspaces/dev-x-academy-web/src/app/api/auth/[...nextauth]/route.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/workspaces/dev-x-academy-web/src/app/api/auth/logout/route.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"/workspaces/dev-x-academy-web/src/app/api/auth/register/route.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 64
"/workspaces/dev-x-academy-web/src/app/api/courses/[id]/route.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 134
"/workspaces/dev-x-academy-web/src/app/api/courses/route.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 66
"/workspaces/dev-x-academy-web/src/app/api/enrollments/[id]/route.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 76
"/workspaces/dev-x-academy-web/src/app/api/enrollments/route.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 142
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/lesson/route.ts", "TypeScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 179
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/module/route.ts", "TypeScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 157
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/route.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 114
"/workspaces/dev-x-academy-web/src/app/api/user/language/route.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"/workspaces/dev-x-academy-web/src/app/api/user/login-history/route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 32
"/workspaces/dev-x-academy-web/src/app/api/user/profile/route.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 89
"/workspaces/dev-x-academy-web/src/app/contact/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 4, 12, 160
"/workspaces/dev-x-academy-web/src/app/courses/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 6, 10, 127
"/workspaces/dev-x-academy-web/src/app/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"/workspaces/dev-x-academy-web/src/app/global-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"/workspaces/dev-x-academy-web/src/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 4, 7, 53
"/workspaces/dev-x-academy-web/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 3, 54
"/workspaces/dev-x-academy-web/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/workspaces/dev-x-academy-web/src/app/pricing/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 1, 6, 69
"/workspaces/dev-x-academy-web/src/app/privacy-policy/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 20, 44, 483
"/workspaces/dev-x-academy-web/src/app/providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/workspaces/dev-x-academy-web/src/app/terms-of-service/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 408, 0, 0, 20, 52, 480
"/workspaces/dev-x-academy-web/src/auth.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 185
"/workspaces/dev-x-academy-web/src/auth.types.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/workspaces/dev-x-academy-web/src/components/layout/footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 4, 7, 103
"/workspaces/dev-x-academy-web/src/components/layout/header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 4, 8, 150
