"filename", "language", "TypeScript", "JSON", "source.markdown.math", "JSON with Comments", "Shell Script", "TypeScript JSX", "Properties", "YAML", "Docker", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/docs/playwright_setup.md", "source.markdown.math", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 82, 266
"/workspaces/dev-x-academy-web/docs/prisma-introduction.md", "source.markdown.math", 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 95, 365
"/workspaces/dev-x-academy-web/docs/rest-api-vs-prisma-comparison.md", "source.markdown.math", 0, 0, 608, 0, 0, 0, 0, 0, 0, 0, 175, 783
"/workspaces/dev-x-academy-web/docs/security_features.md", "source.markdown.math", 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 112, 392
"/workspaces/dev-x-academy-web/docs/tempo_queries.md", "source.markdown.math", 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 157, 462
"/workspaces/dev-x-academy-web/docs/testing-strategy-nextjs.md", "source.markdown.math", 0, 0, 825, 0, 0, 0, 0, 0, 0, 0, 172, 997
"/workspaces/dev-x-academy-web/docs/testing.md", "source.markdown.math", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 57, 222
"/workspaces/dev-x-academy-web/docs/testing_overview.md", "source.markdown.math", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 88, 314
"/workspaces/dev-x-academy-web/grafana_implementation.md", "source.markdown.math", 0, 0, -287, 0, 0, 0, 0, 0, 0, 0, -92, -379
"/workspaces/dev-x-academy-web/instrumentation.node.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, -2, 2, 6
"/workspaces/dev-x-academy-web/package-lock.json", "JSON", 0, -5538, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5539
"/workspaces/dev-x-academy-web/package.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/workspaces/dev-x-academy-web/scripts/generate-continuous-traffic.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 29, 31, 171
"/workspaces/dev-x-academy-web/scripts/generate-test-telemetry.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 37, 40, 238
"/workspaces/dev-x-academy-web/scripts/quickstart.md", "source.markdown.math", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 58, 168
"/workspaces/dev-x-academy-web/scripts/readme-telemetry-testing.md", "source.markdown.math", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 69, 218
"/workspaces/dev-x-academy-web/scripts/restart-prometheus.sh", "Shell Script", 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 5, 27
"/workspaces/dev-x-academy-web/scripts/test-login-metrics.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 137
"/workspaces/dev-x-academy-web/src/app/(auth)/forgot-password/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/workspaces/dev-x-academy-web/src/app/(auth)/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 6, 6, 116
